i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
4,54.263885919548684,1.2574528,1.0120223,0.0445998,astro-256-100m,"Annealing(rc, easy)",2e-07,2e-07,2e-07
5,1.0923646277748582,1.3733855,1.0101417,0.0029148,astro-256-100m,"Annealing(rc, easy)",1.8e-06,1.8e-06,0.2855406
6,16.795926662301806,1.2346972,1.01955,0.0420358,astro-256-100m,"Annealing(rc, easy)",2e-07,2e-07,2e-07
7,53.66724290688332,1.2064698,1.0164747,0.4614094,astro-256-100m,"Annealing(rc, easy)",2e-07,2e-07,2e-07
8,1.0423649264451051,1.3827432,1.0058888,0.0014148,astro-256-100m,"Annealing(rc, easy)",1.8e-06,3.5e-05,0.9531944
9,76.24174871607562,1.2048314,1.0066651,0.7815684,astro-256-100m,"Annealing(rc, easy)",2e-07,2e-07,2e-07
0,1.4780963560296445,1.4161434,1.0079271,0.0012004,astro-256-100m,"Annealing(rc, medium)",1.4e-06,2e-06,0.1596914
1,0.9559490555491832,1.3237652,1.0148367,0.009596,astro-256-100m,"Annealing(rc, medium)",1.8e-06,1.8e-06,0.0140498
2,5.492125120050434,1.449513,1.0089024,0.0017402,astro-256-100m,"Annealing(rc, medium)",2e-07,6e-07,0.01829
3,5.95019718094793,1.190475,1.0045905,0.356201,astro-256-100m,"Annealing(rc, medium)",2e-07,2e-07,0.0731952
4,5.676911144520219,1.2288114,1.0045553,0.1730484,astro-256-100m,"Annealing(rc, medium)",2e-07,2e-07,0.0113224
5,1.120255769066593,1.3848077,1.0126535,0.0007726,astro-256-100m,"Annealing(rc, medium)",1.8e-06,1.8e-06,0.3669706
6,4.848126785708656,1.2174938,1.0123658,0.0369012,astro-256-100m,"Annealing(rc, medium)",2e-07,6e-07,0.2914278
7,5.327231258676445,1.1844337,1.0052665,0.4512978,astro-256-100m,"Annealing(rc, medium)",2e-07,2e-07,0.0002188
8,1.0079892223275957,1.3847852,1.0078226,0.0020096,astro-256-100m,"Annealing(rc, medium)",1.8e-06,1.8e-06,0.006547
9,5.84586688686437,1.1881502,1.0033629,0.8018276,astro-256-100m,"Annealing(rc, medium)",2e-07,2e-07,0.0461392
0,1.608064569983869,1.4200025,1.009642,0.0012004,astro-256-100m,"Annealing(rc, hard)",1.4e-06,1.8e-06,0.1764788
1,0.923805339205448,1.321275,1.0220841,0.0136042,astro-256-100m,"Annealing(rc, hard)",1.8e-06,1.8e-06,0.0004928
2,5.525398656390958,1.4361353,1.008437,0.0021442,astro-256-100m,"Annealing(rc, hard)",2e-07,6e-07,0.0063404
3,5.807664115922312,1.1837163,1.003939,0.3927964,astro-256-100m,"Annealing(rc, hard)",2e-07,2e-07,0.0003438
4,5.864227563430789,1.2318778,1.0043062,0.070983,astro-256-100m,"Annealing(rc, hard)",2e-07,2e-07,0.0258824
5,1.0739495219322708,1.3815314,1.0123404,0.0007726,astro-256-100m,"Annealing(rc, hard)",1.8e-06,1.8e-06,0.0028796
6,4.986360643137053,1.2178876,1.0191206,0.0764874,astro-256-100m,"Annealing(rc, hard)",2e-07,4e-07,0.0530062
7,5.809508423579601,1.1873455,1.0056214,0.7911044,astro-256-100m,"Annealing(rc, hard)",2e-07,2e-07,0.0124556
8,1.0696352709328358,1.3853074,1.0115811,0.0009866,astro-256-100m,"Annealing(rc, hard)",1.8e-06,1.8e-06,0.0108576
9,5.985503454057449,1.1959587,1.0056679,0.800676,astro-256-100m,"Annealing(rc, hard)",2e-07,2e-07,0.0013072
0,44.021891274386775,1.741147,1.017802,0.0042336,deep1b-96-100m,"Annealing(rc, easy)",0.0,0.0,0.0
1,7.8164171320178895,2.3132825,1.0145082,0.0030868,deep1b-96-100m,"Annealing(rc, easy)",1.0,1.0,1.0
2,7.91113639711184,2.0426764,1.0058838,0.0035774,deep1b-96-100m,"Annealing(rc, easy)",1.0,1.0,1.0
3,6.932971407585414,1.9027421,1.0119094,0.004282,deep1b-96-100m,"Annealing(rc, easy)",1.0,1.0,1.0
4,33.182883256180546,1.722314,1.0087985,0.0204282,deep1b-96-100m,"Annealing(rc, easy)",0.0,0.0,0.0
5,88.79274488410968,1.6676998,1.0223211,0.043462,deep1b-96-100m,"Annealing(rc, easy)",0.0,0.0,0.0
6,7.05054957414613,2.1531625,1.0047513,0.0059818,deep1b-96-100m,"Annealing(rc, easy)",1.0,1.0,1.0
7,5.585034441817877,1.7960247,1.0119642,0.016885,deep1b-96-100m,"Annealing(rc, easy)",1.0,1.0,1.0
8,5.79928698853054,1.7875624,1.0124085,0.0015954,deep1b-96-100m,"Annealing(rc, easy)",1.0,1.0,1.0
9,37.69584448939887,1.7250795,1.0098948,0.0300282,deep1b-96-100m,"Annealing(rc, easy)",0.0,0.0,0.0
0,6.390066046948776,1.6463467,1.0082358,0.0049182,deep1b-96-100m,"Annealing(rc, medium)",2e-07,0.0001504,0.2374114
1,6.81749969985168,2.4390235,1.0137758,0.0027184,deep1b-96-100m,"Annealing(rc, medium)",3.8e-06,0.0042334,0.1864818
2,8.039729773552873,2.0237687,1.0109881,0.002147,deep1b-96-100m,"Annealing(rc, medium)",2e-07,0.0214046,0.8540762
3,7.065466448319853,1.8797294,1.0064313,0.0138338,deep1b-96-100m,"Annealing(rc, medium)",2e-07,0.0423614,0.8465426
4,6.9482047329425605,1.6183751,1.0076655,0.0543922,deep1b-96-100m,"Annealing(rc, medium)",2e-07,0.0289882,0.986278
5,6.330419878223646,1.5715753,1.0051283,0.0420644,deep1b-96-100m,"Annealing(rc, medium)",2e-07,0.0011354,0.7613342
6,7.284640011254422,2.1030993,1.0055603,0.0059818,deep1b-96-100m,"Annealing(rc, medium)",1.6e-06,0.0281486,0.9487514
7,4.736963181286953,1.7832348,1.0113844,0.0118566,deep1b-96-100m,"Annealing(rc, medium)",2e-07,0.0018482,0.535334
8,7.009094040673771,1.7159499,1.0063373,0.0015954,deep1b-96-100m,"Annealing(rc, medium)",2e-07,0.001452,0.8738514
9,6.452067913112744,1.6209958,1.0042068,0.036584,deep1b-96-100m,"Annealing(rc, medium)",2e-07,0.001742,0.6142918
0,6.773705001231787,1.6166047,1.0084319,0.0054666,deep1b-96-100m,"Annealing(rc, hard)",2e-07,0.0001288,0.2342314
1,7.497381940311944,2.4179196,1.0196322,0.0030274,deep1b-96-100m,"Annealing(rc, hard)",4.4e-06,0.0048426,0.2095802
2,8.221078855090957,2.0525804,1.0113484,0.0059582,deep1b-96-100m,"Annealing(rc, hard)",2e-07,0.0143028,0.3747354
3,6.678539924016016,1.9127992,1.0135705,0.005704,deep1b-96-100m,"Annealing(rc, hard)",2e-07,0.0058668,0.3099456
4,6.327569162913428,1.6476134,1.0088276,0.021061,deep1b-96-100m,"Annealing(rc, hard)",2e-07,9.34e-05,0.1813466
5,6.570146222649782,1.5798382,1.0051419,0.054836,deep1b-96-100m,"Annealing(rc, hard)",2e-07,9.84e-05,0.3019444
6,7.700448334093854,2.160016,1.0079044,0.0059818,deep1b-96-100m,"Annealing(rc, hard)",1e-06,0.013416,0.3473318
7,5.133254679719428,1.7760121,1.0069036,0.0159258,deep1b-96-100m,"Annealing(rc, hard)",2e-07,0.0001354,0.1511316
8,6.665082498867961,1.733289,1.004972,0.0015954,deep1b-96-100m,"Annealing(rc, hard)",2e-07,6.56e-05,0.0146992
9,6.384557945620473,1.617687,1.0066661,0.0238464,deep1b-96-100m,"Annealing(rc, hard)",2e-07,8.16e-05,0.1863122
0,9.22435373574344,2.3688545,1.0163866,0.0019244,seismic-256-100m,"Annealing(rc, easy)",2.42e-05,0.036334,0.7756302
1,6.213365713646604,1.3324817,1.0110917,0.230741,seismic-256-100m,"Annealing(rc, easy)",2e-07,2e-07,0.4883022
2,24.803165085411948,4.0245404,1.0115055,0.001824,seismic-256-100m,"Annealing(rc, easy)",0.0313422,0.565823,1.0
3,8.8091184780083,2.0698545,1.0091815,0.0180208,seismic-256-100m,"Annealing(rc, easy)",2.4e-06,0.095673,0.8636458
4,6.164026931160596,1.3451566,1.0137796,0.1678264,seismic-256-100m,"Annealing(rc, easy)",2e-07,2e-07,0.33226
5,6.98172344700296,1.9809781,1.0140454,0.0064338,seismic-256-100m,"Annealing(rc, easy)",2e-06,0.042521,0.977584
6,5.72121307115756,1.2862986,1.0168939,0.5108762,seismic-256-100m,"Annealing(rc, easy)",2e-07,6e-07,0.6527214
7,7.35568523252414,1.9871941,1.0070227,0.0157282,seismic-256-100m,"Annealing(rc, easy)",2e-07,0.0163796,0.8175856
