i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
121,19.879147301801915,2.591394,1.0299495,0.016916666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.057666666666666665,0.5323333333333333,0.9996166666666667
122,33.23292759492102,1.8636446,1.0142334,0.13265,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.6119,0.9997166666666667,1.0
123,17.952783872849306,3.191438,1.0589623,0.019383333333333332,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.05096666666666667,0.3273333333333333,0.9833833333333334
124,14.797436085965096,2.7710946,1.0432252,0.00705,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.04273333333333333,0.45876666666666666,0.9279666666666667
125,7.873423422155065,3.5443661,1.0393935,0.026883333333333332,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.01405,0.09356666666666667,0.4019666666666667
126,23.09400323479817,1.6027926,1.0243062,0.007566666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.9351833333333334,1.0,1.0
127,37.83920222266852,2.4240532,1.0206124,0.023816666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.17938333333333334,0.9562166666666667,1.0
128,33.49570489412835,2.7973075,1.0382844,0.04495,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.10076666666666667,0.5465,0.9302833333333334
129,34.91496337794852,3.1750143,1.0306745,0.0436,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.12533333333333332,0.46508333333333335,0.8202333333333334
130,16.04748297139347,2.705653,1.0495584,0.0092,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.11888333333333333,0.6231833333333333,0.99995
131,11.969814302831683,5.358901,1.0650002,0.010216666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0029833333333333335,0.018566666666666665,0.0733
132,16.787036416303536,2.3925009,1.0991551,0.04095,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.09751666666666667,0.80845,0.9999833333333333
133,22.016591296420135,2.9860883,1.0322258,0.023866666666666668,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.10728333333333333,0.47646666666666665,0.9609
134,18.10357260081973,2.492361,1.0663526,0.010666666666666666,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.03075,0.7128,1.0
135,59.76230067663102,2.3882637,1.0298142,0.020816666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.26181666666666664,0.9398833333333333,0.9999666666666667
136,15.747302342742325,2.6110492,1.0148499,0.034866666666666664,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0941,0.5976833333333333,0.9999833333333333
137,15.79521864148507,5.2554317,1.048017,0.01245,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.005083333333333333,0.03283333333333333,0.08006666666666666
138,16.87232067007521,2.2394598,1.0270443,0.015166666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.2188,0.9587166666666667,1.0
139,54.41646175037606,2.3516588,1.0266992,0.06515,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.36525,0.8872,0.9999666666666667
140,14.30692397768717,4.33575,1.1003227,0.013066666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.011616666666666668,0.07106666666666667,0.20586666666666667
141,23.508272283908028,2.4804103,1.0614741,0.013,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.060566666666666664,0.6148333333333333,1.0
142,30.363641164878583,2.7731087,1.0263379,0.014633333333333333,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.1281,0.6402833333333333,0.9723
143,10.022656330614634,4.187953,1.0638664,0.011916666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0086,0.05171666666666667,0.21456666666666666
144,8.49693542979445,3.6009932,1.0578483,0.0067666666666666665,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.004316666666666667,0.08068333333333333,0.2966666666666667
145,21.430313795200057,2.8969789,1.1054078,0.007466666666666667,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.04646666666666667,0.49595,0.9999666666666667
146,27.394886112296998,3.6002297,1.0546595,0.019166666666666665,fashion_mnist-euclidean-784-60K,File(queries_fashion_mnist-euclidean-784-10000),0.0356,0.24641666666666667,0.5985666666666667
