iteration,rc,elapsed_s,query_index,dataset,method,method_params
14,2.274536,0.3991396427154541,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
15,2.2543442,0.4297785758972168,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
16,2.2532897,0.4603779315948486,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
17,2.2519763,0.4909398555755615,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
18,2.252095,0.5215396881103516,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
19,2.251216,0.5521144866943359,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
20,2.2420943,0.5825796127319336,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
21,2.2348456,0.6130905151367188,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
22,2.1889265,0.6434769630432129,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
23,2.1580083,0.6739978790283203,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
24,2.1582992,0.706181526184082,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
25,2.1563132,0.7400622367858887,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
26,2.1568782,0.7686092853546143,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
27,2.155495,0.8084330558776855,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
28,2.1511111,0.8370165824890137,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
29,2.1399183,0.8773050308227539,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
30,2.1205308,0.906268835067749,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
31,2.111363,0.9446742534637452,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
32,2.112294,0.9718079566955566,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
33,2.111588,1.0065054893493652,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
34,2.111245,1.0432121753692627,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
35,2.1021082,1.0732576847076416,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
36,2.096193,1.1102752685546875,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
37,2.0457551,1.1385986804962158,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
38,2.044628,1.1755523681640625,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
39,2.0426922,1.2016370296478271,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
40,2.0435855,1.2401316165924072,0,/mnt/hddhelp/workgen_data/fashion_mnist-euclidean-784-60K.bin,annealing,"{""initial_temperature"": 1.0, ""max_steps"": 1001, ""seed"": 1234}"
