i,lid_10,rc_10,exp_20|10,distcomp,dataset,workload_description,eps_q0.25,eps_q0.5,eps_q0.75
18,21.660015593386085,2.5687265,1.0308499,0.009969,sald-128-1m,File(sald-128-1k),0.011886,0.191391,0.907224
19,48.69822219222827,1.6837326,1.0290365,0.030997,sald-128-1m,File(sald-128-1k),0.576626,1.0,1.0
20,84.57670647429889,1.2283411,1.00789,0.15391,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
21,65.91592360691868,1.3706499,1.0076008,0.117828,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
22,30.860999031859343,2.251033,1.0131074,0.004506,sald-128-1m,File(sald-128-1k),0.062477,0.626167,0.999921
23,37.486937875575244,1.5966561,1.0247949,0.052831,sald-128-1m,File(sald-128-1k),0.580789,1.0,1.0
24,24.794834112191126,2.052467,1.0285801,0.014575,sald-128-1m,File(sald-128-1k),0.079473,0.839448,1.0
25,12.166674577833753,2.6446137,1.0457522,0.002016,sald-128-1m,File(sald-128-1k),0.002184,0.114784,0.615332
26,25.23098991262843,3.2969744,1.0288745,0.008542,sald-128-1m,File(sald-128-1k),0.013559,0.139429,0.375252
27,47.95686336366497,2.2148328,1.026965,0.012922,sald-128-1m,File(sald-128-1k),0.073235,0.81413,1.0
28,55.148980371692836,1.8024597,1.0103523,0.017762,sald-128-1m,File(sald-128-1k),0.387508,1.0,1.0
29,34.39886471247028,2.1545725,1.0148811,0.016198,sald-128-1m,File(sald-128-1k),0.103966,0.837372,1.0
30,28.914163499297747,1.6349483,1.0185323,0.238583,sald-128-1m,File(sald-128-1k),0.598983,1.0,1.0
31,25.549581029756123,3.7229192,1.0311048,0.008673,sald-128-1m,File(sald-128-1k),0.006057,0.055579,0.193952
32,68.21147773338647,1.8222834,1.0158523,0.102737,sald-128-1m,File(sald-128-1k),0.392812,1.0,1.0
33,145.2526368450438,1.239436,1.0124897,0.369011,sald-128-1m,File(sald-128-1k),1.0,1.0,1.0
34,11.99581032476483,2.70849,1.0431839,0.005018,sald-128-1m,File(sald-128-1k),0.006493,0.162817,0.624958
35,26.27593009169412,2.023347,1.026578,0.004966,sald-128-1m,File(sald-128-1k),0.057617,0.981585,1.0
36,19.847369502163268,2.6336498,1.0484481,0.005575,sald-128-1m,File(sald-128-1k),0.008547,0.284927,0.837069
37,59.8085362025972,1.8130188,1.0163867,0.019737,sald-128-1m,File(sald-128-1k),0.395041,0.999999,1.0
38,102.55609696460296,2.1503227,1.0095067,0.006423,sald-128-1m,File(sald-128-1k),0.17097,0.942455,1.0
39,15.69473046473568,4.3543973,1.0494546,0.0031,sald-128-1m,File(sald-128-1k),0.000711,0.011583,0.060377
40,41.6895862653188,2.2861373,1.0301058,0.016318,sald-128-1m,File(sald-128-1k),0.096096,0.650041,1.0
41,17.07886603719735,2.9821067,1.0508586,0.00487,sald-128-1m,File(sald-128-1k),0.001601,0.021418,0.326093
42,54.75592689295039,1.9813589,1.0090951,0.019456,sald-128-1m,File(sald-128-1k),0.255045,0.980711,1.0
43,10.078552135043772,9.297616,1.088104,0.002401,sald-128-1m,File(sald-128-1k),0.000131,0.000517,0.001372
44,27.299125315612535,3.210873,1.0353374,0.008462,sald-128-1m,File(sald-128-1k),0.011822,0.132824,0.40817
45,19.955367730931314,3.3669114,1.0324248,0.015175,sald-128-1m,File(sald-128-1k),0.008907,0.085718,0.260514
46,17.99814468782305,2.357569,1.0554649,0.004527,sald-128-1m,File(sald-128-1k),0.002211,0.231564,0.995389
47,9.74251154403097,11.862225,1.0494758,0.004426,sald-128-1m,File(sald-128-1k),0.000113,0.00048,0.001061
48,108.26038220502447,1.7111661,1.0138996,0.048949,sald-128-1m,File(sald-128-1k),0.532549,1.0,1.0
49,77.3832490172441,1.8185033,1.0136459,0.005465,sald-128-1m,File(sald-128-1k),0.397627,1.0,1.0
50,15.664185880150706,2.8282068,1.0245267,0.004208,sald-128-1m,File(sald-128-1k),0.000487,0.025579,0.259525
51,7.995799797147325,2.9929914,1.0335395,0.002125,sald-128-1m,File(sald-128-1k),0.000112,0.005992,0.063416
52,28.82534352139428,2.6523938,1.0342193,0.004809,sald-128-1m,File(sald-128-1k),0.019684,0.284629,0.931029
53,36.5691458405453,3.1785688,1.0522902,0.003773,sald-128-1m,File(sald-128-1k),0.002955,0.08007,0.599573
54,42.63277040021345,2.834459,1.0419712,0.01214,sald-128-1m,File(sald-128-1k),0.007651,0.201256,0.769446
55,25.014993255552774,2.4845355,1.0344408,0.00468,sald-128-1m,File(sald-128-1k),0.0116,0.320782,0.983833
