dataset,workload,query_index,index_name,target_recall,index_params,time_s,distcomp,recall
sald-128-1m,File(sald-128-1k),505,faiss_hnsw,0.95,"{""efSearch"": 128, ""index_params"": ""HNSW32""}",0.0010519981384277343,0.003593,1.0
sald-128-1m,File(sald-128-1k),506,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0004041910171508789,0.00112,1.0
sald-128-1m,File(sald-128-1k),507,faiss_hnsw,0.95,"{""efSearch"": 1024, ""index_params"": ""HNSW32""}",0.008123183250427246,0.017857,1.0
sald-128-1m,File(sald-128-1k),508,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0003809213638305664,0.001033,1.0
sald-128-1m,File(sald-128-1k),509,faiss_hnsw,0.95,"{""efSearch"": 2048, ""index_params"": ""HNSW32""}",0.016094183921813963,0.043645,1.0
sald-128-1m,File(sald-128-1k),510,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.00811920166015625,0.002133,1.0
sald-128-1m,File(sald-128-1k),511,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.000545048713684082,0.001763,1.0
sald-128-1m,File(sald-128-1k),512,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.0002560138702392578,0.000376,1.0
sald-128-1m,File(sald-128-1k),513,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.0002552032470703125,0.000356,1.0
sald-128-1m,File(sald-128-1k),514,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.00038034915924072265,0.001009,1.0
sald-128-1m,File(sald-128-1k),515,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008580422401428223,0.00064,1.0
sald-128-1m,File(sald-128-1k),516,faiss_hnsw,0.95,"{""efSearch"": 16, ""index_params"": ""HNSW32""}",0.0002775430679321289,0.000597,1.0
sald-128-1m,File(sald-128-1k),517,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0005718469619750977,0.001287,1.0
sald-128-1m,File(sald-128-1k),518,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.0004324197769165039,0.00131,1.0
sald-128-1m,File(sald-128-1k),519,faiss_hnsw,0.95,"{""efSearch"": 1, ""index_params"": ""HNSW32""}",0.010161542892456054,0.000204,1.0
sald-128-1m,File(sald-128-1k),520,faiss_hnsw,0.95,"{""efSearch"": 32, ""index_params"": ""HNSW32""}",0.008273172378540038,0.000865,1.0
sald-128-1m,File(sald-128-1k),521,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.00047557353973388673,0.001384,1.0
sald-128-1m,File(sald-128-1k),522,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0017542839050292969,0.00159,1.0
sald-128-1m,File(sald-128-1k),523,faiss_hnsw,0.95,"{""efSearch"": 8, ""index_params"": ""HNSW32""}",0.010106158256530762,0.000572,1.0
sald-128-1m,File(sald-128-1k),524,faiss_hnsw,0.95,"{""efSearch"": 4, ""index_params"": ""HNSW32""}",0.009732294082641601,0.000213,1.0
sald-128-1m,File(sald-128-1k),525,faiss_hnsw,0.95,"{""efSearch"": 64, ""index_params"": ""HNSW32""}",0.0007282972335815429,0.001963,1.0
